"AssignmentName","DisplayName","Description","SubscriptionName","SubscriptionId","Scope","ScopeType","PolicyDefinitionId","PolicyDefinitionName","PolicyType","PolicyMode","PolicyCategory","EnforcementMode","Identity","Location","NotScopes","Parameters","Metadata","ResourceId"
"sys.blockwesteurope","Microsoft Azure region access restriction blocking West Europe region",,"MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/providers/Microsoft.Management/managementGroups/21bd262e-3255-411e-8345-51102d9d9e9e","ManagementGroup","/providers/Microsoft.Authorization/policyDefinitions/7509877f-d414-4d79-8d1f-d600ea78d087","Unable to retrieve","Unknown","Unknown","Unknown","Default","None",,"None","Count=0; Names=","CreatedBy=7207ed74-41b1-4b71-b942-099a561c2118; CreatedOn=01/15/2026 07:42:15; UpdatedOn=01/27/2026 23:02:37","/providers/Microsoft.Management/managementGroups/21bd262e-3255-411e-8345-51102d9d9e9e/providers/Microsoft.Authorization/policyAssignments/sys.blockwesteurope"
"Certificatesshouldhavethespecifiedmaximumvalidityperi-2037153248","","","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb","Subscription","/providers/Microsoft.Authorization/policyDefinitions/0a075868-4c26-42ef-914c-5bc007359560","Unable to retrieve","Unknown","Unknown","Unknown","DoNotEnforce","None",,"None","Count=2; Names=maximumValidityInMonths, effect","CreatedBy=84b934c8-a68f-458c-b07b-1b90dd22ca95; CreatedOn=01/28/2026 23:16:14; UpdatedOn=01/28/2026 23:29:04","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb/providers/Microsoft.Authorization/policyAssignments/Certificatesshouldhavethespecifiedmaximumvalidityperi-2037153248"
"ConfigureAzureKeyVaultstouseprivateDNSzones-246126126","","","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb","Subscription","/providers/Microsoft.Authorization/policyDefinitions/ac673a9a-f77d-4846-b2d8-a57f8e1c01d4","Unable to retrieve","Unknown","Unknown","Unknown","DoNotEnforce","UserAssigned; PrincipalId=","eastus","None","Count=2; Names=privateDnsZoneId, effect","CreatedBy=84b934c8-a68f-458c-b07b-1b90dd22ca95; CreatedOn=01/28/2026 23:16:20; UpdatedOn=01/28/2026 23:29:08","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb/providers/Microsoft.Authorization/policyAssignments/ConfigureAzureKeyVaultstouseprivateDNSzones-246126126"
"Certificatesshouldhavethespecifiedlifetimeactiontrigg-1747739740","","","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb","Subscription","/providers/Microsoft.Authorization/policyDefinitions/12ef42cb-9903-4e39-9c26-422d29570417","Unable to retrieve","Unknown","Unknown","Unknown","DoNotEnforce","None",,"None","Count=3; Names=effect, minimumDaysBeforeExpiry, maximumPercentageLife","CreatedBy=84b934c8-a68f-458c-b07b-1b90dd22ca95; CreatedOn=01/28/2026 23:16:22; UpdatedOn=01/28/2026 23:29:09","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb/providers/Microsoft.Authorization/policyAssignments/Certificatesshouldhavethespecifiedlifetimeactiontrigg-1747739740"
"PreviewConfigureAzureKeyVaultManagedHSMtodisablepublic-970052128","","","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb","Subscription","/providers/Microsoft.Authorization/policyDefinitions/84d327c3-164a-4685-b453-900478614456","Unable to retrieve","Unknown","Unknown","Unknown","DoNotEnforce","UserAssigned; PrincipalId=","eastus","None","Count=1; Names=effect","CreatedBy=84b934c8-a68f-458c-b07b-1b90dd22ca95; CreatedOn=01/28/2026 23:16:25; UpdatedOn=01/28/2026 23:29:11","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb/providers/Microsoft.Authorization/policyAssignments/PreviewConfigureAzureKeyVaultManagedHSMtodisablepublic-970052128"
"ResourcelogsinKeyVaultshouldbeenabled-1993944844","","","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb","Subscription","/providers/Microsoft.Authorization/policyDefinitions/cf820ca0-f99e-4f3e-84fb-66e913812d21","Unable to retrieve","Unknown","Unknown","Unknown","DoNotEnforce","None",,"None","Count=2; Names=requiredRetentionDays, effect","CreatedBy=84b934c8-a68f-458c-b07b-1b90dd22ca95; CreatedOn=01/28/2026 23:16:26; UpdatedOn=01/28/2026 23:29:12","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb/providers/Microsoft.Authorization/policyAssignments/ResourcelogsinKeyVaultshouldbeenabled-1993944844"
"Secretsshouldhavemorethanthespecifiednumberofdaysbefo-1956896279","","","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb","Subscription","/providers/Microsoft.Authorization/policyDefinitions/b0eb591a-5e70-4534-a8bf-04b9c489584a","Unable to retrieve","Unknown","Unknown","Unknown","DoNotEnforce","None",,"None","Count=2; Names=effect, minimumDaysBeforeExpiration","CreatedBy=84b934c8-a68f-458c-b07b-1b90dd22ca95; CreatedOn=01/28/2026 23:16:30; UpdatedOn=01/28/2026 23:29:17","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb/providers/Microsoft.Authorization/policyAssignments/Secretsshouldhavemorethanthespecifiednumberofdaysbefo-1956896279"
"Keysshouldhavethespecifiedmaximumvalidityperiod-917584996","","","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb","Subscription","/providers/Microsoft.Authorization/policyDefinitions/49a22571-d204-4c91-a7b6-09b1a586fbc9","Unable to retrieve","Unknown","Unknown","Unknown","DoNotEnforce","None",,"None","Count=2; Names=effect, maximumValidityInDays","CreatedBy=84b934c8-a68f-458c-b07b-1b90dd22ca95; CreatedOn=01/28/2026 23:16:30; UpdatedOn=01/28/2026 23:29:18","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb/providers/Microsoft.Authorization/policyAssignments/Keysshouldhavethespecifiedmaximumvalidityperiod-917584996"
"DeployDiagnosticSettingsforKeyVaulttoEventHub-1475213071","","","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb","Subscription","/providers/Microsoft.Authorization/policyDefinitions/ed7c8c13-51e7-49d1-8a43-8490431a0da2","Unable to retrieve","Unknown","Unknown","Unknown","DoNotEnforce","UserAssigned; PrincipalId=","eastus","None","Count=3; Names=effect, eventHubRuleId, eventHubLocation","CreatedBy=84b934c8-a68f-458c-b07b-1b90dd22ca95; CreatedOn=01/28/2026 23:16:33; UpdatedOn=01/28/2026 23:29:20","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb/providers/Microsoft.Authorization/policyAssignments/DeployDiagnosticSettingsforKeyVaulttoEventHub-1475213071"
"AzureKeyVaultshoulddisablepublicnetworkaccess-1804116204","","","MSDN Platforms Subscription","ab1336c7-687d-4107-b0f6-9649a0458adb","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb","Subscription","/providers/Microsoft.Authorization/policyDefinitions/405c5871-3e91-4644-8a63-58e19d68ff5b","Unable to retrieve","Unknown","Unknown","Unknown","DoNotEnforce","None",,"None","Count=1; Names=effect","CreatedBy=84b934c8-a68f-458c-b07b-1b90dd22ca95; CreatedOn=01/28/2026 23:16:40; UpdatedOn=01/28/2026 23:29:23","/subscriptions/ab1336c7-687d-4107-b0f6-9649a0458adb/providers/Microsoft.Authorization/policyAssignments/AzureKeyVaultshoulddisablepublicnetworkaccess-1804116204"
