"Policy Name","Policy ID","Effect","Parameterized","Category","Can Block Operations","Version","Definition Type","Description"
,"0a075868-4c26-42ef-914c-5bc007359560",,"False","Other/Parameterized","False","2.2.1","Policy","N/A"
,"a22f4a40-01d3-4c7d-8071-da157eeff341",,"False","Other/Parameterized","False","2.1.1","Policy","N/A"
,"a2a5b911-5617-447e-a49e-59dbe0e0434b",,"False","Other/Parameterized","False","1.1.0","Policy","N/A"
,"a6abeaec-4d90-4a02-805f-6b26c4d3fbe9",,"False","Other/Parameterized","False","1.2.1","Policy","N/A"
,"a6d2c800-5230-4a40-bff3-8268b4987d42",,"False","Other/Parameterized","False","1.0.0","Policy","N/A"
,"ac673a9a-f77d-4846-b2d8-a57f8e1c01d4",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"ac673a9a-f77d-4846-b2d8-a57f8e1c01dc",,"False","Other/Parameterized","False","1.1.1","Policy","N/A"
,"ad27588c-0198-4c84-81ef-08efd0274653",,"False","Other/Parameterized","False","1.0.1-preview","Policy","N/A"
,"b0eb591a-5e70-4534-a8bf-04b9c489584a",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"bd78111f-4953-4367-9fd5-7e08808b54bf",,"False","Other/Parameterized","False","2.1.0","Policy","N/A"
,"c26e4b24-cf98-4c67-b48b-5a25c4c69eb9",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"c39ba22d-4428-4149-b981-70acb31fc383",,"False","Other/Parameterized","False","1.0.0","Policy","N/A"
,"cee51871-e572-4576-855c-047c820360f0",,"False","Other/Parameterized","False","2.1.0","Policy","N/A"
,"cf820ca0-f99e-4f3e-84fb-66e913812d21",,"False","Other/Parameterized","False","5.0.0","Policy","N/A"
,"d1d6d8bb-cc7c-420f-8c7d-6f6f5279a844",,"False","Other/Parameterized","False","1.0.0-preview","Policy","N/A"
,"d3e82b87-6673-410b-8501-1896b688b9a3",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"d8cf8476-a2ec-4916-896e-992351803c44",,"False","Other/Parameterized","False","1.0.0","Policy","N/A"
,"e58fd0c1-feac-4d12-92db-0a7e9421f53e",,"False","Other/Parameterized","False","1.0.1-preview","Policy","N/A"
,"e8d99835-8a06-45ae-a8e0-87a91941ccfe",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"ed7c8c13-51e7-49d1-8a43-8490431a0da2",,"False","Other/Parameterized","False","3.0.1","Policy","N/A"
,"9d4fad1f-5189-4a42-b29e-cf7929c6b6df",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"98728c90-32c7-4049-8429-847dc0f4fe37",,"False","Other/Parameterized","False","1.0.2","Policy","N/A"
,"951af2fa-529b-416e-ab6e-066fd85ac459",,"False","Other/Parameterized","False","2.0.1","Policy","N/A"
,"8e826246-c976-48f6-b03e-619bb92b3d82",,"False","Other/Parameterized","False","2.1.0","Policy","N/A"
,"0b60c0b2-2dc2-4e1c-b5c9-abbed971de53",,"False","Other/Parameterized","False","2.1.0","Policy","N/A"
,"1151cede-290b-4ba0-8b38-0ad145ac888f",,"False","Other/Parameterized","False","2.1.0","Policy","N/A"
,"12d4fa5e-1f9f-4c21-97a9-b99b3c6611b5",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"12ef42cb-9903-4e39-9c26-422d29570417",,"False","Other/Parameterized","False","2.1.0","Policy","N/A"
,"152b15f7-8e1f-4c1f-ab71-8c010ba5dbc0",,"False","Other/Parameterized","False","1.0.2","Policy","N/A"
,"19ea9d63-adee-4431-a95e-1913c6c1c75f",,"False","Other/Parameterized","False","1.0.0-preview","Policy","N/A"
,"1d478a74-21ba-4b9f-9d8f-8e6fced0eec5",,"False","Other/Parameterized","False","1.0.1-preview","Policy","N/A"
,"1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d",,"False","Other/Parameterized","False","3.1.0","Policy","N/A"
,"342e8053-e12e-4c44-be01-c3c2f318400f",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"f772fb64-8e40-40ad-87bc-7706e1949427",,"False","Other/Parameterized","False","2.1.1","Policy","N/A"
,"405c5871-3e91-4644-8a63-58e19d68ff5b",,"False","Other/Parameterized","False","1.1.0","Policy","N/A"
,"55615ac9-af46-4a59-874e-391cc3dfb490",,"False","Other/Parameterized","False","3.3.0","Policy","N/A"
,"587c79fe-dd04-4a5e-9d0b-f89598c7261b",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"59fee2f4-d439-4f1b-9b9a-982e1474bfd8",,"False","Other/Parameterized","False","1.0.0-preview","Policy","N/A"
,"5ff38825-c5d8-47c5-b70e-069a21955146",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"75262d3e-ba4a-4f43-85f8-9f72c090e5e3",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"75c4f823-d65c-4f29-a733-01d0077fdbcb",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"82067dbb-e53b-4e06-b631-546d197452d9",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"84d327c3-164a-4685-b453-900478614456",,"False","Other/Parameterized","False","2.0.0-preview","Policy","N/A"
,"86810a98-8e91-4a44-8386-ec66d0de5d57",,"False","Other/Parameterized","False","1.0.1-preview","Policy","N/A"
,"49a22571-d204-4c91-a7b6-09b1a586fbc9",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
,"ff25f3c8-b739-4538-9d07-3d6d25cfb255",,"False","Other/Parameterized","False","1.0.1","Policy","N/A"
