"Policy Name","Policy ID","Default Effect","Can Use Deny","Can Use Audit","Allowed Effects","Category","Version","Definition Type","Description"
"[Preview]: Azure Key Vault Managed HSM should use private link","59fee2f4-d439-4f1b-9b9a-982e1474bfd8","Audit","False","True","Audit, Disabled","Audit-Only (No Deny option)","1.0.0-preview","Policy","Private link provides a way to connect Azure Key Vault Managed HSM to your Azure resources without sending traffic over ..."
"[Preview]: Configure Azure Key Vault Managed HSM to disable public network access","84d327c3-164a-4685-b453-900478614456","Modify","False","False","Modify, Disabled","Audit-Only (No Deny option)","2.0.0-preview","Policy","Disable public network access for your Azure Key Vault Managed HSM so that it's not accessible over the public internet...."
"[Preview]: Configure Azure Key Vault Managed HSM with private endpoints","d1d6d8bb-cc7c-420f-8c7d-6f6f5279a844","DeployIfNotExists","False","False","DeployIfNotExists, Disabled","Audit-Only (No Deny option)","1.0.0-preview","Policy","Private endpoints connect your virtual networks to Azure services without a public IP address at the source or destinati..."
"Configure Azure Key Vaults to use private DNS zones","ac673a9a-f77d-4846-b2d8-a57f8e1c01d4","DeployIfNotExists","False","False","DeployIfNotExists, Disabled","Audit-Only (No Deny option)","1.0.1","Policy","Use private DNS zones to override the DNS resolution for a private endpoint. A private DNS zone links to your virtual ne..."
"Configure Azure Key Vaults with private endpoints","9d4fad1f-5189-4a42-b29e-cf7929c6b6df","DeployIfNotExists","False","False","DeployIfNotExists, Disabled","Audit-Only (No Deny option)","1.0.1","Policy","Private endpoints connect your virtual networks to Azure services without a public IP address at the source or destinati..."
"Configure key vaults to enable firewall","ac673a9a-f77d-4846-b2d8-a57f8e1c01dc","Modify","False","False","Modify, Disabled","Audit-Only (No Deny option)","1.1.1","Policy","Enable the key vault firewall so that the key vault is not accessible by default to any public IPs. You can then configu..."
"Deploy - Configure diagnostic settings for Azure Key Vault to Log Analytics workspace","951af2fa-529b-416e-ab6e-066fd85ac459","DeployIfNotExists","False","False","DeployIfNotExists, Disabled","Audit-Only (No Deny option)","2.0.1","Policy","Deploys the diagnostic settings for Azure Key Vault to stream resource logs to a Log Analytics workspace when any Key Va..."
"Deploy - Configure diagnostic settings to an Event Hub to be enabled on Azure Key Vault Managed HSM","a6d2c800-5230-4a40-bff3-8268b4987d42","DeployIfNotExists","False","False","DeployIfNotExists, Disabled","Audit-Only (No Deny option)","1.0.0","Policy","Deploys the diagnostic settings for Azure Key Vault Managed HSM to stream to a regional Event Hub when any Azure Key Vau..."
"Deploy Diagnostic Settings for Key Vault to Event Hub","ed7c8c13-51e7-49d1-8a43-8490431a0da2","DeployIfNotExists","False","False","DeployIfNotExists, Disabled","Audit-Only (No Deny option)","3.0.1","Policy","Deploys the diagnostic settings for Key Vault to stream to a regional Event Hub when any Key Vault which is missing this..."
"Keys should have a rotation policy ensuring that their rotation is scheduled within the specified number of days after creation.","d8cf8476-a2ec-4916-896e-992351803c44","Audit","False","True","Audit, Disabled","Audit-Only (No Deny option)","1.0.0","Policy","Manage your organizational compliance requirements by specifying the maximum number of days after key creation until it ..."
"Resource logs in Azure Key Vault Managed HSM should be enabled","a2a5b911-5617-447e-a49e-59dbe0e0434b","AuditIfNotExists","False","False","AuditIfNotExists, Disabled","Audit-Only (No Deny option)","1.1.0","Policy","To recreate activity trails for investigation purposes when a security incident occurs or when your network is compromis..."
