"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
,"APPI","10d18a23-d954-46a7-a322-10d9f3a21b65",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"APPI","10d18a23-d954-46a7-a322-10d9f3a21b65",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"APPI","10d18a23-d954-46a7-a322-10d9f3a21b65",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"APPI","10d18a23-d954-46a7-a322-10d9f3a21b65",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Application Security Posture Now","a487d0a3-e413-490d-9835-efbaf791ad98",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Application Security Posture Now","a487d0a3-e413-490d-9835-efbaf791ad98",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Application Security Posture Now","a487d0a3-e413-490d-9835-efbaf791ad98",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Application Security Posture Now","a487d0a3-e413-490d-9835-efbaf791ad98",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Avaamo PowerBI Reporting","218284c1-1e9c-449f-9c7b-5ec75e31169e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AppliedML","dcbe8ad9-ba56-47a9-9777-a21f49cc5952",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AppliedML","dcbe8ad9-ba56-47a9-9777-a21f49cc5952",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AppliedML","dcbe8ad9-ba56-47a9-9777-a21f49cc5952",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AppliedML","dcbe8ad9-ba56-47a9-9777-a21f49cc5952",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"BMGPBI","e07002cf-3228-473e-906e-af205da46404",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"BMGPBI","e07002cf-3228-473e-906e-af205da46404",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"BYOK DEV Azure","7cee6141-f8b8-4f6e-86e9-7bcb6efcd8c0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"buc-smg-gos-prc-fcst","605f8cf3-12b9-42ba-91e4-bb413b2b7fd8",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"buc-smg-gos-prc-fcst","605f8cf3-12b9-42ba-91e4-bb413b2b7fd8",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Azure subscription 1","c69af086-6b8f-4441-aebb-a6df357dae7b",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Azure subscription 1","a312cf34-b597-4f27-a07f-7f0a03e2a727",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Azure subscription 1","a312cf34-b597-4f27-a07f-7f0a03e2a727",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Azure WAF Exploration","69dcab7f-7b17-4a6b-aab5-e75ca62cc247",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Azure WAF Exploration","69dcab7f-7b17-4a6b-aab5-e75ca62cc247",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Azure Tech Acceptance","a8b6da83-61b8-441b-bd3d-12240d114135",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Azure Tech Acceptance","a8b6da83-61b8-441b-bd3d-12240d114135",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-dev1","9b3b3db7-0990-4c70-9f93-6a15ed415a99",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-dev1","9b3b3db7-0990-4c70-9f93-6a15ed415a99",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"azure-test-2025","32fd222e-369d-4ab9-805a-9c65e9cea1ae",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"azure-test-2025","32fd222e-369d-4ab9-805a-9c65e9cea1ae",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"azure-test-2025","32fd222e-369d-4ab9-805a-9c65e9cea1ae",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureOpenAIProd","b0ca8456-67a9-4abb-a9fb-231d88558d41",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureOpenAIProd","b0ca8456-67a9-4abb-a9fb-231d88558d41",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Bob","02321d1d-f552-4f8a-8c74-2596c008dee0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Bob","02321d1d-f552-4f8a-8c74-2596c008dee0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureAD B2C CD","ab94842d-2ba1-44c8-9d9c-ba3bf851581e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureAD B2C CD","ab94842d-2ba1-44c8-9d9c-ba3bf851581e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureAD B2C CD","ab94842d-2ba1-44c8-9d9c-ba3bf851581e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"boi-iao-jira-dtm","202c1bcf-5a01-45d0-8007-731607ae47c7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"boi-iao-jira-dtm","202c1bcf-5a01-45d0-8007-731607ae47c7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"boltzexecutive","be855b44-9fb1-47b8-bcf0-7ba72ad09e39",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"boltzexecutive","be855b44-9fb1-47b8-bcf0-7ba72ad09e39",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureTrialUse","b750cdf6-12c6-4819-be8f-bc7a24edaaf8",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AzureTrialUse","b750cdf6-12c6-4819-be8f-bc7a24edaaf8",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"BIS Sandbox","f2ed4b8b-b447-4625-b4ad-273a57fd9e6b",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"BIS Sandbox","f2ed4b8b-b447-4625-b4ad-273a57fd9e6b",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCVG-DPD TCE Intel Dist of Python and Intel DAAL testing","28577bd0-a338-42f8-b3ce-6bf80ed1639d",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCVG-DPD TCE Intel Dist of Python and Intel DAAL testing","28577bd0-a338-42f8-b3ce-6bf80ed1639d",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m7","92816fe3-0abc-49a1-a9ee-cecc6f0294e2",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m7","92816fe3-0abc-49a1-a9ee-cecc6f0294e2",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
"kv-iac-dev1-dcba","CDA - Central Data Store - PreProd","728b6fa5-fe66-4f94-8893-38d912ee3428","rg-iac-dev1-dcba","westus","/subscriptions/9b3b3db7-0990-4c70-9f93-6a15ed415a99/resourceGroups/rg-iac-dev1-dcba/providers/Microsoft.KeyVault/vaults/kv-iac-dev1-dcba","https://kv-iac-dev1-dcba.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","False","False","True","90",,"True","Disabled","Not configured","created by=poojax.marakala","Configured (1 setting(s))"
,"CDA - Central Data Store - PreProd","728b6fa5-fe66-4f94-8893-38d912ee3428",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cdm-dev1-discrete","9609c34f-0add-4cda-a739-ea50678fe584",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cdm-dev1-discrete","9609c34f-0add-4cda-a739-ea50678fe584",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CIMS Azure Dev Playground Hybrid Internal","dc08dbd9-6948-4f54-97ad-84ce7e0ad7f6",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CoreValTools IGBN","983c2529-8ba2-48cb-a9b7-d382c64a87fa",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CoreValTools IGBN","983c2529-8ba2-48cb-a9b7-d382c64a87fa",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Commando","eddc53aa-7cf6-4c6f-9fb3-91e561dffdb0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Commando","eddc53aa-7cf6-4c6f-9fb3-91e561dffdb0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CJE-MCP-17759","39a7e6d3-1859-49c3-b091-b22ff98b6aa2",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CJE-MCP-17759","39a7e6d3-1859-49c3-b091-b22ff98b6aa2",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CJE-MCP-17759","39a7e6d3-1859-49c3-b091-b22ff98b6aa2",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CJE-MCP-17759","39a7e6d3-1859-49c3-b091-b22ff98b6aa2",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-dev1","ebc93020-47e7-4375-8970-d4f643514edf",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-dev1","ebc93020-47e7-4375-8970-d4f643514edf",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-dev1","ebc93020-47e7-4375-8970-d4f643514edf",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"commissions","dd61169f-1162-487b-a86b-262e64828fe5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
