"SubscriptionName","SubscriptionId","TenantId","State","SubscriptionPolicies","Tags"
"1ci-preprod-metrics","dc8b9d9c-0cf9-446c-9177-12921182f54a","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"1ci-prod-metrics","9590a312-8cb4-433b-bf12-8897052f5d02","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"1Source Pre-Production","feff5c33-098d-41a4-b715-45431385fdb4","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"1Source1DB - IGBN","b6bebd3d-2ad2-4fd5-93c0-0986e7aa6928","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"1sourcegithub","81153935-ab16-4ce3-90c2-e47e2ad420e3","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"account-pulse-ai","20887ed9-4574-4347-9c2e-18013750b5c1","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"acehub","c9d276ca-34a0-4f8e-9a8a-3e3c82356d98","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"ade-aide-pathfinding","86a51f9c-7115-4be7-b4f2-aa5df828687c","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"ADO_DevOps","e06b2ed9-663c-48b0-bf8e-9a725ebf63ca","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Advanced Analytics Infra Dev","3d412bb0-b3ac-4e86-82d4-4c386a9c38eb","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Advanced Analytics Platform PreProd","1288dc45-ac66-43bd-af87-2150d007fd45","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","MSDNDevTest_2014-09-01","None"
"affected-processors","96de1688-8c49-4546-b0a0-70c0edb8b9a5","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"affinity","80d6e832-b007-4761-b1b1-502284fb691d","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"agenticbot-azure","a41ecb33-d26d-4f71-a4fb-11632a5d0e6a","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"AI Debug Agent","c6b9fe90-7893-4c9e-990e-f001e413d3a4","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"AI Solutions Group Co-Design LLM for Code","716bcbae-74d8-4fd8-995c-b1c41de53615","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Aim Dev","f8da652c-7d91-45b3-8214-09d7b9434ce3","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"AIM Prod","a152ae44-5a38-4ccd-988b-2118b0c35d47","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Alloy-AI-Dev","83e3e5b8-7f62-4411-982b-df3b06f692ff","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"alt-g-aiaas","1eb19fdf-a56e-4b75-82d8-787e83ea2479","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","MSDNDevTest_2014-09-01","None"
"altera-1source","ef62db01-c095-4720-b836-ed40ec5348f0","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"altera-engos-engapps","6940fa25-568c-4e0a-9cb2-9cff87a9c7c0","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","EnterpriseAgreement_2014-09-01","None"
"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"alteratestplatform","b6f0c1bc-3e70-4114-acb3-ff319cbcdf5c","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"AML","fc5206a0-ab7d-4058-aa96-8cab651d4430","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","EnterpriseAgreement_2014-09-01","None"
