"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
,"Azure Stack HCI - Virtualization Cluster","84b7d9ed-3aca-4532-a9b0-9a448e7d4f35",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Azure Tech Acceptance","a8b6da83-61b8-441b-bd3d-12240d114135",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Avaamo PowerBI Reporting","218284c1-1e9c-449f-9c7b-5ec75e31169e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Avaamo PowerBI Reporting","218284c1-1e9c-449f-9c7b-5ec75e31169e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Avaamo PowerBI Reporting","218284c1-1e9c-449f-9c7b-5ec75e31169e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Avaamo PowerBI Reporting","218284c1-1e9c-449f-9c7b-5ec75e31169e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AI Debug Agent","c6b9fe90-7893-4c9e-990e-f001e413d3a4",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AI Debug Agent","c6b9fe90-7893-4c9e-990e-f001e413d3a4",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AI Debug Agent","c6b9fe90-7893-4c9e-990e-f001e413d3a4",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"AI Debug Agent","c6b9fe90-7893-4c9e-990e-f001e413d3a4",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Aim Dev","f8da652c-7d91-45b3-8214-09d7b9434ce3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
